station_complex,station_complex_index
Clinton-Washington Avs (G),235
"Coney Island-Stillwell Av (D,F,N,Q)",236
Cortelyou Rd (Q),237
"Court Sq (E,G,M,7)",238
"Court St (R)/Borough Hall (2,3,4,5)",239
"Crescent St (J,Z)",240
"Crown Hts-Utica Av (3,4)",241
Cypress Av (6),242
Cypress Hills (J),243
"DeKalb Av (B,Q,R)",244
DeKalb Av (L),245
"Delancey St (F)/Essex St (J,M,Z)",246
Ditmas Av (F),247
Dyckman St (1),248
Dyckman St (A),249
E 143 St-St Mary's St (6),250
E 149 St (6),251
"E 180 St (2,5)",252
East 105 St (L),253
East Broadway (F),254
Eastchester-Dyre Av (5),255
"Eastern Pkwy-Brooklyn Museum (2,3)",256
Elder Av (6),257
"Elmhurst Av (M,R)",258
"Euclid Av (A,C)",259
Far Rockaway-Mott Av (A),260
"Flatbush Av-Brooklyn College (2,5)",261
Flushing Av (G),262
"Flushing Av (M,J)",263
Flushing-Main St (7),264
Fordham Rd (4),265
"Fordham Rd (B,D)",266
Forest Av (M),267
"Forest Hills-71 Av (E,F,M,R)",268
Fort Hamilton Pkwy (D),269
"Fort Hamilton Pkwy (F,G)",270
Fort Hamilton Pkwy (N),271
"Franklin Av (2,3,4,5)/Botanic Garden (S)",272
"Franklin Av (C,S)",273
Franklin St (1),274
"Freeman St (2,5)",275
Fresh Pond Rd (M),276
"Fulton St (A,C,J,Z,2,3,4,5)",277
Fulton St (G),278
"Gates Av (J,Z)",279
Graham Av (L),280
"Grand Army Plaza (2,3)",281
"Grand Av-Newtown (M,R)",282
"Grand Central-42 St (S,4,5,6,7)",283
"Grand St (B,D)",284
Grand St (L),285
Grant Av (A),286
Greenpoint Av (G),287
"Gun Hill Rd (2,5)",288
Gun Hill Rd (5),289
Halsey St (J),290
Halsey St (L),291
Harlem-148 St (3),292
"Hewes St (M,J)",293
"High St (A,C)",294
Houston St (1),295
Howard Beach-JFK Airport (A),296
"Hoyt St (2,3)",297
"Hoyt-Schermerhorn Sts (A,C,G)",298
Hunters Point Av (7),299
Hunts Point Av (6),300
"Intervale Av (2,5)",301
Inwood-207 St (A),302
"Jackson Av (2,5)",303
"Jamaica Center-Parsons/Archer (E,J,Z)",304
Jamaica-179 St (F),305
Jamaica-Van Wyck (E),306
"Jay St-MetroTech (A,C,F,R)",307
Jefferson St (L),308
Junction Blvd (7),309
Junius St (3),310
"Kew Gardens-Union Tpke (E,F)",311
"Kings Hwy (B,Q)",312
Kings Hwy (F),313
Kings Hwy (N),314
Kingsbridge Rd (4),315
"Kingsbridge Rd (B,D)",316
Kingston Av (3),317
Kingston-Throop Avs (C),318
Knickerbocker Av (M),319
Kosciuszko St (J),320
Lafayette Av (C),321
"Lexington Av (N,R,W)/59 St (4,5,6)",322
"Lexington Av-53 St (E,M)/51 St (6)",323
"Lexington Av/63 St (F,Q)",324
Liberty Av (C),325
Livonia Av (L),326
Longwood Av (6),327
Lorimer St (L)/Metropolitan Av (G),328
"Lorimer St (M,J)",329
Marble Hill-225 St (1),330
"Marcy Av (M,J,Z)",331
Mets-Willets Point (7),332
Middle Village-Metropolitan Av (M),333
Middletown Rd (6),334
Montrose Av (L),335
Morgan Av (L),336
Morris Park (5),337
Morrison Av-Soundview (6),338
Mosholu Pkwy (4),339
Mt Eden Av (4),340
"Myrtle Av (M,J,Z)",341
Myrtle-Willoughby Avs (G),342
"Myrtle-Wyckoff Avs (L,M)",343
Nassau Av (G),344
Neck Rd (Q),345
Neptune Av (F),346
"Nereid Av (2,5)",347
"Nevins St (2,3,4,5)",348
New Lots Av (3),349
New Lots Av (L),350
New Utrecht Av (N)/62 St (D),351
"Newkirk Av-Little Haiti (2,5)",352
"Newkirk Plaza (B,Q)",353
"Northern Blvd (M,R)",354
"Norwood Av (J,Z)",355
Norwood-205 St (D),356
Nostrand Av (3),357
"Nostrand Av (A,C)",358
Ocean Pkwy (Q),359
Ozone Park-Lefferts Blvd (A),360
Park Pl (S),361
Parkchester (6),362
Parkside Av (Q),363
Parsons Blvd (F),364
Pelham Bay Park (6),365
"Pelham Pkwy (2,5)",366
Pelham Pkwy (5),367
Pennsylvania Av (3),368
"President St-Medgar Evers College (2,5)",369
"Prince St (R,W)",370
"Prospect Av (2,5)",371
Prospect Av (R),372
"Prospect Park (B,Q,S)",373
